Word,Frequency
lorem,4
ipsum,5
dolor,3
sit,5
amet,5
consectetuer,3
adipiscing,3
elit,1
aenean,6
commodo,1
ligula,2
eget,8
massa,2
cum,1
sociis,1
natoque,1
penatibus,1
et,6
magnis,1
dis,1
parturient,1
montes,1
nascetur,1
ridiculus,1
mus,1
donec,5
quam,4
felis,2
ultricies,5
nec,6
pellentesque,2
eu,4
pretium,4
quis,7
sem,4
nulla,3
consequat,3
enim,3
pede,3
justo,4
fringilla,3
vel,3
aliquet,1
vulputate,3
arcu,4
in,6
rhoncus,3
ut,6
imperdiet,7
a,4
venenatis,2
vitae,3
nullam,4
dictum,1
mollis,3
integer,2
tincidunt,3
cras,3
dapibus,2
vivamus,1
elementum,1
semper,2
nisi,4
eleifend,3
tellus,3
leo,4
porttitor,1
ac,2
aliquam,2
ante,5
viverra,2
feugiat,2
phasellus,4
metus,3
varius,1
laoreet,1
quisque,1
rutrum,2
etiam,4
augue,2
curabitur,1
ullamcorper,2
nam,3
dui,4
maecenas,2
tempus,3
condimentum,1
libero,4
neque,2
sed,6
nunc,5
blandit,1
luctus,2
pulvinar,1
hendrerit,4
id,4
odio,1
sapien,2
faucibus,3
orci,3
eros,3
duis,2
mauris,3
nibh,1
sodales,2
sagittis,2
magna,2
bibendum,1
velit,1
cursus,1
gravida,1
mi,3
fusce,1
vestibulum,4
purus,1
scelerisque,1
nonummy,3
accumsan,2
turpis,2
primis,1
ultrices,2
posuere,2
cubilia,1
curae;,1
lacinia,1
tortor,1
suscipit,1
iaculis,1
praesent,1
volutpat,1
nisl,1
lectus,1
risus,1
facilisis,1
non,1
auctor,1
