Word,Frequency
lorem,4
ligula,2
libero,4
leo,4
lectus,1
laoreet,1
lacinia,1
luctus,2
ipsum,5
in,6
integer,2
imperdiet,7
id,4
iaculis,1
dolor,3
donec,5
dis,1
dictum,1
dapibus,2
dui,4
duis,2
sit,5
sociis,1
sodales,2
sem,4
semper,2
sed,6
sapien,2
sagittis,2
scelerisque,1
suscipit,1
a,4
amet,5
adipiscing,3
aenean,6
aliquet,1
aliquam,2
arcu,4
ac,2
accumsan,2
ante,5
augue,2
auctor,1
consectetuer,3
consequat,3
condimentum,1
commodo,1
cum,1
curabitur,1
curae;,1
cursus,1
cubilia,1
cras,3
elit,1
elementum,1
eleifend,3
eget,8
et,6
etiam,4
eu,4
enim,3
eros,3
massa,2
magnis,1
magna,2
maecenas,2
mauris,3
montes,1
mollis,3
mus,1
metus,3
mi,3
natoque,1
nascetur,1
nam,3
nec,6
neque,2
nulla,3
nullam,4
nunc,5
nisi,4
nisl,1
nibh,1
non,1
nonummy,3
penatibus,1
pellentesque,2
pede,3
parturient,1
pretium,4
primis,1
praesent,1
porttitor,1
posuere,2
phasellus,4
pulvinar,1
purus,1
ridiculus,1
risus,1
rhoncus,3
rutrum,2
quam,4
quis,7
quisque,1
felis,2
feugiat,2
fringilla,3
faucibus,3
facilisis,1
fusce,1
ultricies,5
ultrices,2
ullamcorper,2
ut,6
justo,4
vel,3
velit,1
venenatis,2
vestibulum,4
vulputate,3
vitae,3
vivamus,1
viverra,2
varius,1
volutpat,1
tincidunt,3
tellus,3
tempus,3
turpis,2
tortor,1
blandit,1
bibendum,1
hendrerit,4
odio,1
orci,3
gravida,1
